"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,47,"Alegeri Prezidentiale",1,0,874,0,874,0,871,3,10000,9126,441,95,232,5,25,2,1,2,2,28,6,20,0,12
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,48,"Alegeri Prezidentiale",1,0,737,0,737,0,735,2,10000,9263,352,75,219,5,20,1,4,2,1,23,5,11,1,16
48,STRĂINĂTATE,BELGIA,9999,LIEGE,LIEGE,49,"Alegeri Prezidentiale",2,0,791,0,791,0,787,4,10000,9209,359,55,262,4,17,0,5,3,3,21,6,22,5,25
48,STRĂINĂTATE,BELGIA,9999,LIEGE,LIEGE,50,"Alegeri Prezidentiale",2,0,796,0,796,0,794,2,10000,9204,374,51,267,3,18,5,3,3,0,24,5,23,3,15
48,STRĂINĂTATE,BELGIA,9999,ANTWERP,ANTWERP,51,"Alegeri Prezidentiale",2,0,1822,0,1822,0,1811,11,10000,8178,811,122,657,12,31,1,7,12,2,67,6,46,3,34
48,STRĂINĂTATE,BELGIA,9999,ANTWERP,ANTWERP,52,"Alegeri Prezidentiale",1,0,1946,0,1946,0,1932,14,10000,8054,922,107,668,11,41,5,4,7,3,81,7,44,5,27
48,STRĂINĂTATE,BELGIA,9999,MONS,MONS,53,"Alegeri Prezidentiale",1,0,328,0,328,0,326,2,10000,9672,132,16,139,0,6,0,1,0,0,18,3,6,1,4
48,STRĂINĂTATE,BELGIA,9999,MONS,MONS,54,"Alegeri Prezidentiale",1,0,327,0,327,0,323,4,10000,9673,131,21,129,0,8,0,2,1,1,19,2,5,1,3
48,STRĂINĂTATE,BELGIA,9999,CHARLEROI,CHARLEROI,55,"Alegeri Prezidentiale",1,0,435,0,435,0,433,2,10004,9569,217,38,110,0,8,2,2,2,2,19,1,14,6,12
48,STRĂINĂTATE,BELGIA,9999,CHARLEROI,CHARLEROI,56,"Alegeri Prezidentiale",2,0,454,0,454,0,453,1,10000,9546,217,38,120,3,15,1,1,3,2,23,5,14,1,10
48,STRĂINĂTATE,BELGIA,9999,BRUGES,BRUGES,57,"Alegeri Prezidentiale",1,0,1249,0,1249,0,1239,10,10000,8751,516,92,481,8,25,1,6,6,0,46,8,31,1,18
48,STRĂINĂTATE,BELGIA,9999,BRUGES,BRUGES,58,"Alegeri Prezidentiale",2,0,1243,0,1243,0,1235,8,10000,8757,599,85,407,10,13,3,4,3,2,48,7,29,9,16
48,STRĂINĂTATE,BELGIA,9999,GENT,GENT,59,"Alegeri Prezidentiale",1,0,1228,0,1228,0,1219,9,10000,8772,585,66,414,9,22,6,4,4,6,37,9,32,4,21
48,STRĂINĂTATE,"BOSNIA SI HERTEGOVINA",9999,SARAJEVO,SARAJEVO,60,"Alegeri Prezidentiale",1,0,58,0,58,0,58,0,404,346,23,6,21,0,2,0,0,0,0,4,0,2,0,0
48,STRĂINĂTATE,BRAZILIA,9999,BRASILIA,BRASILIA,61,"Alegeri Prezidentiale",1,0,10,0,10,0,10,0,200,190,5,0,5,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,BRAZILIA,9999,"RIO DE JANEIRO","RIO DE JANEIRO",62,"Alegeri Prezidentiale",1,0,52,0,52,0,51,1,200,148,23,6,18,1,1,0,0,1,0,1,0,0,0,0
