precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"ANA BIRCHALL-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","CRISTIAN DIACONESCU-voturi","MIRCEA-DAN GEOANĂ-voturi","SILVIU PREDOIU-voturi","CRISTIAN-VASILE TERHEȘ-voturi","LUDOVIC ORBAN-voturi","CĂLIN GEORGESCU-voturi","ELENA-VALERICA LASCONI-voturi","ION-MARCEL CIOLACU-voturi","ALEXANDRA-BEATRICE BERTALAN-PĂCURARU-voturi","NICOLAE-IONEL CIUCĂ-voturi","GEORGE-NICOLAE SIMION-voturi","HUNOR KELEMEN-voturi"
43,STRĂINĂTATE,OTTAWA,70,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 07:57:19",0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TORONTO,74,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 06:53:49",0,9,7,2,7,7,0,7,7,0,1,0,0,2,0,0,0,0,2,0,0,2,0,0
43,STRĂINĂTATE,"MONTREAL 1",79,CANADA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 10:28:40",0,7,7,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0
43,STRĂINĂTATE,VANCOUVER,81,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 09:15:22",0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,STRĂINĂTATE,"PRAGA 2",84,"REPUBLICA CEHĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 00:55:50",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,STRĂINĂTATE,"SANTIAGO DE CHILE",86,"REPUBLICA CHILE",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 03:04:11",0,5,5,0,5,5,0,5,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
43,STRĂINĂTATE,BEIJING,87,"REPUBLICA POPULARĂ CHINEZĂ",9999,3,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-26 14:21:17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"HONG KONG",88,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 15:59:09",0,2,2,0,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,STRĂINĂTATE,SHANGHAI,89,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-24 17:19:44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"NICOSIA 1",90,"REPUBLICA CIPRU",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2024-11-25 01:11:44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
