precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",20,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:12:13",973,473,428,45,0,468,5,1100,627,138,84,12,2,5,90,3,0,0,2,132
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",21,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:05:40",1012,528,480,48,0,521,7,1100,572,141,118,23,3,7,83,1,0,2,7,136
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",22,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:31:43",1145,693,549,144,0,686,7,1200,507,230,121,22,4,3,108,1,1,2,8,186
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",23,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:42:57",1618,884,809,75,0,878,6,1700,816,272,200,21,4,5,121,0,3,2,12,238
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",24,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:53",996,498,454,44,0,488,10,1100,602,183,95,21,2,7,68,2,0,1,3,106
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",25,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:46:29",1156,594,555,39,0,586,8,1200,606,193,107,15,7,12,99,1,0,1,8,143
1,ALBA,"LICEUL CU PROGRAM SPORTIV",26,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:12:35",1289,645,589,56,0,636,9,1400,755,218,112,13,3,10,107,0,1,3,3,166
1,ALBA,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:36:26",1277,644,586,58,0,638,6,1400,756,218,130,12,9,2,90,2,1,2,6,166
1,ALBA,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:16:50",1393,764,685,79,0,756,8,1500,736,229,174,18,7,3,95,0,0,2,5,223
1,ALBA,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:25:46",912,482,412,70,0,473,9,1000,518,156,84,13,4,4,81,1,0,3,2,125
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:37:13",1061,509,459,50,0,501,8,1200,691,149,94,11,2,8,94,0,1,4,4,134
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:42",1210,574,435,139,0,569,5,1300,726,244,89,15,3,6,63,0,1,3,3,142
