precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
1,ALBA,"COLEGIUL NAŢIONAL ”INOCHENTIE MICU CLAIN’’",86,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:23:37",1301,736,637,74,25,719,17,1400,664,171,170,23,7,5,91,0,1,2,6,243
1,ALBA,"ŞCOALA GIMNAZIALĂ ”PETRU PAVEL ARON” BLAJ",87,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:22:15",1663,786,727,59,0,770,16,1700,914,317,117,21,4,12,132,4,7,2,4,150
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION MICU MOLDOVAN” BLAJ",88,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:36:00",1584,568,537,31,0,551,17,1700,1132,383,101,4,4,1,28,1,0,1,1,27
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL ”IZVOARELE” BLAJ",89,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:31",1275,562,539,23,0,559,3,1400,838,272,114,9,2,5,65,3,1,1,8,79
1,ALBA,"ŞCOALA PRIMARĂ PETRISAT",90,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:05:11",455,217,196,20,1,212,5,512,295,67,86,6,1,2,18,0,1,0,0,31
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION BĂRNUŢIU” TIUR",91,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:05:33",1261,573,546,27,0,564,9,1300,727,261,126,9,2,4,77,2,0,0,2,81
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” MĂNĂRADE",92,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:07",883,372,353,19,0,370,2,1000,628,211,99,4,1,2,22,0,1,1,1,28
1,ALBA,"SERVICIUL PUBLIC DE ADMINISTRARE A PATRIMONIULUI SEBEŞ",93,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:00:19",1661,840,792,47,1,827,13,1700,860,280,179,16,8,5,122,4,0,4,4,205
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",94,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:45:23",1508,579,512,62,5,560,19,1600,1021,365,158,5,0,2,7,3,0,0,4,16
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",95,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:53:00",1593,868,748,115,5,854,14,1700,832,289,168,20,3,10,93,0,3,3,4,261
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",96,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:30",1033,484,441,43,0,473,11,1100,616,213,58,16,3,1,65,0,0,1,3,113
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",97,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:28:51",1046,460,424,36,0,455,5,1100,640,219,72,11,0,2,41,0,0,0,9,101
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",98,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:25:08",1415,666,612,53,1,653,13,1500,834,218,143,19,3,1,97,1,2,0,8,161
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",99,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:41:26",1454,689,652,37,0,677,12,1500,811,270,122,22,2,4,79,0,1,2,5,170
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",100,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:44:50",1257,591,514,77,0,584,7,1400,809,212,116,25,3,9,50,0,0,3,3,163
