Judet,UAT,Localitate,Siruta,"Nr sectie de votare","Nume sectie de votare",Mediu,"Înscriși pe liste permanente",LP,LS,LSC,UM,LT,"Barbati 18-24","Barbati 25-34","Barbati 35-44","Barbati 45-64","Barbati 65+","Femei 18-24","Femei 25-34","Femei 35-44","Femei 45-64","Femei 65+","Barbati 18","Barbati 19","Barbati 20","Barbati 21","Barbati 22","Barbati 23","Barbati 24","Barbati 25","Barbati 26","Barbati 27","Barbati 28","Barbati 29","Barbati 30","Barbati 31","Barbati 32","Barbati 33","Barbati 34","Barbati 35","Barbati 36","Barbati 37","Barbati 38","Barbati 39","Barbati 40","Barbati 41","Barbati 42","Barbati 43","Barbati 44","Barbati 45","Barbati 46","Barbati 47","Barbati 48","Barbati 49","Barbati 50","Barbati 51","Barbati 52","Barbati 53","Barbati 54","Barbati 55","Barbati 56","Barbati 57","Barbati 58","Barbati 59","Barbati 60","Barbati 61","Barbati 62","Barbati 63","Barbati 64","Barbati 65","Barbati 66","Barbati 67","Barbati 68","Barbati 69","Barbati 70","Barbati 71","Barbati 72","Barbati 73","Barbati 74","Barbati 75","Barbati 76","Barbati 77","Barbati 78","Barbati 79","Barbati 80","Barbati 81","Barbati 82","Barbati 83","Barbati 84","Barbati 85","Barbati 86","Barbati 87","Barbati 88","Barbati 89","Barbati 90","Barbati 91","Barbati 92","Barbati 93","Barbati 94","Barbati 95","Barbati 96","Barbati 97","Barbati 98","Barbati 99","Barbati 100","Barbati 101","Barbati 102","Barbati 103","Barbati 104","Barbati 105","Barbati 106","Barbati 107","Barbati 108","Barbati 109","Barbati 110","Barbati 111","Barbati 112","Barbati 113","Barbati 114","Barbati 115","Barbati 116","Barbati 117","Barbati 118","Barbati 119","Barbati 120","Femei 18","Femei 19","Femei 20","Femei 21","Femei 22","Femei 23","Femei 24","Femei 25","Femei 26","Femei 27","Femei 28","Femei 29","Femei 30","Femei 31","Femei 32","Femei 33","Femei 34","Femei 35","Femei 36","Femei 37","Femei 38","Femei 39","Femei 40","Femei 41","Femei 42","Femei 43","Femei 44","Femei 45","Femei 46","Femei 47","Femei 48","Femei 49","Femei 50","Femei 51","Femei 52","Femei 53","Femei 54","Femei 55","Femei 56","Femei 57","Femei 58","Femei 59","Femei 60","Femei 61","Femei 62","Femei 63","Femei 64","Femei 65","Femei 66","Femei 67","Femei 68","Femei 69","Femei 70","Femei 71","Femei 72","Femei 73","Femei 74","Femei 75","Femei 76","Femei 77","Femei 78","Femei 79","Femei 80","Femei 81","Femei 82","Femei 83","Femei 84","Femei 85","Femei 86","Femei 87","Femei 88","Femei 89","Femei 90","Femei 91","Femei 92","Femei 93","Femei 94","Femei 95","Femei 96","Femei 97","Femei 98","Femei 99","Femei 100","Femei 101","Femei 102","Femei 103","Femei 104","Femei 105","Femei 106","Femei 107","Femei 108","Femei 109","Femei 110","Femei 111","Femei 112","Femei 113","Femei 114","Femei 115","Femei 116","Femei 117","Femei 118","Femei 119","Femei 120"
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,11,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,897,373,95,0,0,468,23,43,41,79,32,27,24,46,100,53,5,2,7,3,2,3,1,4,6,3,8,4,5,3,3,3,4,5,6,2,3,1,6,3,5,5,5,2,2,8,7,5,2,8,1,7,2,1,8,7,2,2,5,3,2,2,3,4,4,5,3,2,4,0,1,0,4,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,2,3,7,2,2,6,2,1,1,2,0,4,4,4,7,3,5,6,2,5,5,4,5,4,4,3,10,4,7,6,6,3,8,3,8,5,3,3,5,5,5,3,5,6,2,4,1,4,2,6,5,5,4,4,2,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,12,"COLEGIUL TEHNIC „APULUM”",U,1093,406,49,0,0,455,10,19,34,101,50,26,24,44,95,52,1,3,1,0,0,1,4,1,1,0,2,2,1,2,1,6,3,6,6,2,3,4,1,2,2,5,3,4,6,6,5,3,4,6,5,4,4,5,4,8,3,5,9,2,5,7,6,4,5,8,5,4,3,4,3,6,1,2,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,6,7,1,2,3,2,2,3,0,2,1,6,3,3,3,2,5,6,2,1,5,8,9,4,4,3,3,6,5,1,8,7,3,5,9,8,0,9,5,6,5,2,2,5,4,6,3,8,2,2,3,4,7,1,1,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,13,"COLEGIUL TEHNIC „APULUM”",U,929,396,34,0,2,432,19,25,29,78,38,14,30,27,103,69,7,1,0,1,1,4,5,0,1,4,4,2,2,1,5,2,4,8,1,0,3,3,3,4,1,2,4,5,4,6,4,4,5,9,3,4,4,7,7,4,2,2,3,2,1,1,1,4,3,4,1,7,2,2,2,2,0,3,1,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2,2,2,3,3,5,1,2,4,3,3,2,4,4,2,5,1,3,1,2,1,7,1,5,2,5,7,9,6,3,4,7,7,5,9,7,6,7,1,6,1,2,4,6,3,3,2,6,6,3,3,8,4,10,4,0,2,2,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,14,"COLEGIUL TEHNIC „APULUM”",U,1045,428,30,0,2,460,18,26,42,72,63,13,17,50,94,65,5,3,4,1,1,2,2,1,1,2,2,5,4,3,2,3,3,1,2,6,2,7,4,2,5,4,9,5,8,9,1,4,1,2,2,4,3,5,3,4,2,1,1,4,3,2,8,4,3,8,2,10,4,10,2,1,1,3,1,2,3,1,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,3,1,2,1,0,5,2,2,1,2,2,1,1,3,3,6,2,3,5,3,8,7,10,9,5,1,4,8,5,1,2,4,9,5,6,8,2,4,5,6,3,3,4,3,5,13,5,4,5,5,6,3,1,2,2,3,0,0,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,15,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",U,1268,506,181,0,0,687,54,54,53,104,61,63,53,59,117,69,6,8,12,9,7,5,7,7,4,4,3,6,6,3,6,5,10,6,4,9,0,4,6,5,2,6,11,7,6,3,7,4,7,6,7,8,5,4,3,6,6,7,4,2,3,4,5,3,3,3,8,6,10,3,4,4,6,2,2,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,12,8,8,4,6,7,8,3,5,8,7,1,5,3,9,7,4,10,4,6,1,4,2,12,7,8,6,4,9,3,7,8,4,5,4,7,4,4,5,6,3,9,8,6,6,10,10,5,7,2,3,7,2,2,4,4,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,16,"SEMINARUL TEOLOGIC ORTODOX „SFÂNTUL SIMION ŞTEFAN”",U,1267,556,88,0,0,644,29,27,60,105,78,18,33,67,132,95,10,7,3,2,4,2,1,1,1,1,2,3,2,3,3,2,9,3,4,8,5,8,7,4,4,8,9,6,3,6,4,9,4,5,6,11,2,5,5,5,9,2,7,3,3,9,1,4,5,8,12,4,9,4,6,3,5,2,3,4,2,0,0,0,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,3,0,1,3,1,2,1,5,2,1,3,4,6,8,4,7,5,7,10,4,7,11,6,6,7,8,4,6,7,6,10,8,7,5,3,12,10,4,4,4,3,7,10,7,7,6,10,8,8,8,6,4,8,6,4,3,4,1,1,3,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,17,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",U,826,395,77,0,49,521,13,28,45,74,65,22,40,52,104,78,2,1,1,2,3,0,4,1,2,4,4,3,2,4,6,0,2,1,0,8,4,3,3,3,10,5,8,7,4,7,2,2,7,4,2,3,3,3,5,4,2,4,2,7,1,2,3,3,6,5,1,7,5,3,8,2,2,2,2,3,1,1,3,2,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,7,2,2,3,2,5,6,1,2,6,2,4,4,8,3,3,5,7,5,10,4,4,7,4,6,4,4,6,9,6,10,2,4,6,5,4,8,7,2,6,6,3,3,3,0,7,4,6,1,2,5,5,11,4,4,4,8,2,1,3,2,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,18,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",U,804,380,119,0,39,538,22,42,40,104,52,26,42,35,102,73,3,4,5,1,3,3,3,8,1,6,7,3,2,4,6,3,2,5,5,2,3,2,9,4,2,4,4,9,9,7,4,4,6,4,11,2,8,4,4,5,6,7,2,4,3,2,3,4,1,2,2,3,2,2,5,5,2,1,2,2,4,2,2,3,2,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1,6,3,3,9,5,3,2,6,4,2,5,1,5,1,4,2,4,2,5,1,6,2,8,2,6,4,3,6,11,6,6,7,7,5,6,12,3,1,3,5,2,3,4,3,6,4,4,7,6,3,3,6,4,5,4,6,4,0,1,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,19,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 11",U,1071,417,123,0,0,540,19,39,52,89,58,25,45,47,104,62,2,0,5,3,4,1,4,4,4,3,2,1,4,1,8,6,6,8,6,6,5,5,7,3,2,4,6,8,11,8,1,1,3,4,3,4,1,7,10,6,2,5,4,1,3,5,2,5,4,5,4,5,3,5,3,7,6,1,3,1,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,1,6,1,2,1,3,8,5,4,5,4,4,6,5,5,2,4,7,3,4,5,8,4,5,5,2,4,2,6,4,1,5,9,10,11,6,7,4,7,6,4,2,3,6,7,5,2,6,5,5,6,4,4,3,4,3,1,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,20,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",U,978,448,39,0,0,487,14,20,47,68,79,13,18,49,85,94,2,3,1,3,1,3,1,1,3,1,3,2,3,2,1,3,1,3,1,2,7,3,6,5,4,4,12,11,5,4,3,7,2,3,5,4,3,3,0,7,0,4,2,2,2,0,1,5,4,4,2,6,3,6,4,11,4,4,1,1,5,5,3,0,3,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,3,1,1,3,2,1,1,1,4,0,4,1,2,2,6,4,4,4,8,4,7,8,7,8,7,5,5,3,1,4,2,5,6,4,5,4,3,0,5,3,5,3,4,7,4,5,8,4,5,9,10,6,8,1,5,6,4,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,21,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",U,1020,495,30,0,0,525,18,29,37,89,65,16,21,39,110,101,6,1,1,4,1,1,4,3,2,2,2,1,3,5,3,5,3,7,3,6,6,1,2,3,1,3,5,6,3,7,4,3,6,7,4,4,2,8,10,4,5,4,1,2,2,5,2,3,0,5,3,2,2,4,4,4,7,5,5,3,2,4,4,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,2,2,2,1,2,2,4,2,2,0,1,1,6,5,9,0,1,6,1,3,2,8,4,3,2,5,9,6,7,13,5,5,11,7,5,9,3,3,3,5,7,0,2,2,5,3,5,7,3,8,9,4,6,6,6,9,8,1,3,3,2,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
