Judet,UAT,Localitate,Siruta,"Nr sectie de votare","Nume sectie de votare",Mediu,"Înscriși pe liste permanente",LP,LS,LSC,UM,LT,"Barbati 18-24","Barbati 25-34","Barbati 35-44","Barbati 45-64","Barbati 65+","Femei 18-24","Femei 25-34","Femei 35-44","Femei 45-64","Femei 65+","Barbati 18","Barbati 19","Barbati 20","Barbati 21","Barbati 22","Barbati 23","Barbati 24","Barbati 25","Barbati 26","Barbati 27","Barbati 28","Barbati 29","Barbati 30","Barbati 31","Barbati 32","Barbati 33","Barbati 34","Barbati 35","Barbati 36","Barbati 37","Barbati 38","Barbati 39","Barbati 40","Barbati 41","Barbati 42","Barbati 43","Barbati 44","Barbati 45","Barbati 46","Barbati 47","Barbati 48","Barbati 49","Barbati 50","Barbati 51","Barbati 52","Barbati 53","Barbati 54","Barbati 55","Barbati 56","Barbati 57","Barbati 58","Barbati 59","Barbati 60","Barbati 61","Barbati 62","Barbati 63","Barbati 64","Barbati 65","Barbati 66","Barbati 67","Barbati 68","Barbati 69","Barbati 70","Barbati 71","Barbati 72","Barbati 73","Barbati 74","Barbati 75","Barbati 76","Barbati 77","Barbati 78","Barbati 79","Barbati 80","Barbati 81","Barbati 82","Barbati 83","Barbati 84","Barbati 85","Barbati 86","Barbati 87","Barbati 88","Barbati 89","Barbati 90","Barbati 91","Barbati 92","Barbati 93","Barbati 94","Barbati 95","Barbati 96","Barbati 97","Barbati 98","Barbati 99","Barbati 100","Barbati 101","Barbati 102","Barbati 103","Barbati 104","Barbati 105","Barbati 106","Barbati 107","Barbati 108","Barbati 109","Barbati 110","Barbati 111","Barbati 112","Barbati 113","Barbati 114","Barbati 115","Barbati 116","Barbati 117","Barbati 118","Barbati 119","Barbati 120","Femei 18","Femei 19","Femei 20","Femei 21","Femei 22","Femei 23","Femei 24","Femei 25","Femei 26","Femei 27","Femei 28","Femei 29","Femei 30","Femei 31","Femei 32","Femei 33","Femei 34","Femei 35","Femei 36","Femei 37","Femei 38","Femei 39","Femei 40","Femei 41","Femei 42","Femei 43","Femei 44","Femei 45","Femei 46","Femei 47","Femei 48","Femei 49","Femei 50","Femei 51","Femei 52","Femei 53","Femei 54","Femei 55","Femei 56","Femei 57","Femei 58","Femei 59","Femei 60","Femei 61","Femei 62","Femei 63","Femei 64","Femei 65","Femei 66","Femei 67","Femei 68","Femei 69","Femei 70","Femei 71","Femei 72","Femei 73","Femei 74","Femei 75","Femei 76","Femei 77","Femei 78","Femei 79","Femei 80","Femei 81","Femei 82","Femei 83","Femei 84","Femei 85","Femei 86","Femei 87","Femei 88","Femei 89","Femei 90","Femei 91","Femei 92","Femei 93","Femei 94","Femei 95","Femei 96","Femei 97","Femei 98","Femei 99","Femei 100","Femei 101","Femei 102","Femei 103","Femei 104","Femei 105","Femei 106","Femei 107","Femei 108","Femei 109","Femei 110","Femei 111","Femei 112","Femei 113","Femei 114","Femei 115","Femei 116","Femei 117","Femei 118","Femei 119","Femei 120"
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,1,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",U,1755,910,61,0,0,971,29,66,92,180,100,33,62,84,205,120,3,6,5,4,3,5,3,3,6,3,7,8,5,5,9,12,8,9,6,7,9,15,6,11,9,11,9,8,10,9,11,11,5,7,8,16,12,13,12,11,8,6,5,8,4,10,6,8,8,3,9,12,6,4,6,4,3,11,5,2,1,6,6,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,4,5,6,2,7,6,7,4,5,9,5,8,9,10,8,9,12,7,4,6,12,11,5,19,8,17,12,14,15,9,8,7,10,11,12,9,9,9,7,6,9,5,9,6,5,12,10,11,9,5,2,10,9,7,5,10,8,4,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,2,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",U,985,472,48,0,1,521,17,37,29,102,64,19,23,38,111,81,4,3,1,3,2,2,2,2,5,7,1,7,4,4,2,2,3,6,3,2,1,3,2,2,4,3,3,5,5,4,6,6,5,11,4,5,6,8,9,4,3,2,3,4,3,6,3,6,3,3,2,4,4,9,3,4,5,2,4,0,3,3,1,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,2,2,2,3,2,1,4,1,2,2,4,1,3,4,5,3,5,2,1,5,3,6,4,4,3,2,9,8,6,6,5,8,6,8,8,3,3,5,3,4,5,5,10,5,5,5,4,11,7,6,5,4,5,2,3,2,3,2,0,1,2,1,0,3,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,3,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",U,1290,601,91,0,0,692,29,41,71,118,64,25,40,66,140,98,6,4,4,2,6,2,5,7,5,3,3,4,2,5,5,4,3,6,12,5,8,5,9,6,5,9,6,4,6,13,8,6,7,5,6,11,5,5,4,3,3,0,4,4,10,4,10,6,2,3,2,3,4,8,4,5,4,1,7,1,4,1,2,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,4,5,5,5,6,3,3,4,6,0,3,4,6,4,7,8,6,11,8,3,4,11,4,3,7,12,4,10,8,9,12,11,8,5,6,7,4,3,6,7,6,6,6,4,7,8,13,10,8,7,5,15,7,0,1,2,3,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,4,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",U,1247,642,49,0,18,709,29,28,50,129,105,20,31,54,138,125,4,5,7,3,3,3,4,6,2,3,1,2,1,2,2,5,4,7,4,6,8,3,4,5,5,4,4,4,12,13,9,9,10,4,7,3,6,5,8,5,4,4,2,8,3,7,6,8,6,9,10,10,3,8,12,2,9,4,4,1,4,2,1,2,2,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,3,2,1,1,2,0,3,2,6,4,6,2,5,1,5,9,3,5,2,10,5,9,5,7,13,7,9,8,7,5,6,5,12,10,9,3,3,5,8,1,6,5,9,7,11,8,8,9,11,6,12,5,3,12,8,3,4,1,7,0,3,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,5,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",U,962,483,61,0,0,544,14,29,59,76,73,12,35,49,102,95,3,1,4,1,2,1,2,2,3,3,1,5,6,1,4,2,2,5,8,5,10,5,7,3,5,6,5,4,3,6,3,4,4,0,3,3,10,8,6,2,1,5,1,3,6,2,2,5,3,2,9,5,6,8,8,3,1,6,6,1,3,2,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,3,0,4,1,4,4,1,6,4,4,3,4,5,5,5,4,3,6,5,4,5,7,7,3,5,6,7,6,4,10,5,5,8,7,4,1,3,2,2,5,4,8,4,3,5,9,9,12,5,13,7,1,4,2,5,2,4,1,1,0,1,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,6,"CASA DE CULTURĂ A STUDENŢILOR",U,709,297,88,0,0,385,17,26,37,62,43,16,34,35,72,43,2,3,3,2,4,1,2,3,5,0,4,1,2,2,2,3,4,2,2,4,9,2,5,7,1,1,4,3,4,2,2,6,7,3,2,6,1,6,2,1,0,3,3,2,5,1,3,2,3,4,3,1,4,3,1,3,3,0,3,3,3,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,4,1,2,3,5,4,4,2,8,2,1,4,1,2,3,3,7,5,1,3,5,3,3,2,4,6,2,8,5,1,4,3,3,2,6,0,1,3,2,5,6,0,9,2,6,2,4,7,3,2,3,1,3,1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,7,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",U,1535,884,128,0,14,1026,34,52,104,180,108,38,58,126,196,130,10,3,4,1,4,4,8,3,8,4,5,1,6,4,5,6,10,9,7,14,9,6,11,9,11,15,13,14,15,13,13,11,12,5,12,9,4,17,7,4,5,11,7,4,3,5,9,6,4,9,10,9,8,2,11,8,3,4,4,3,5,2,2,5,5,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,5,9,2,3,4,8,10,2,6,4,4,4,10,6,7,9,9,8,16,13,17,13,14,20,14,15,15,8,15,15,8,12,8,9,13,8,6,6,4,5,9,8,10,8,8,11,7,12,12,8,9,5,13,9,6,11,5,3,1,3,0,1,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,8,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,902,436,126,0,28,590,56,50,39,78,75,21,23,38,101,109,15,9,5,11,6,6,4,5,6,2,4,5,4,5,6,8,5,2,2,3,6,7,3,3,4,4,5,6,2,6,4,4,7,3,4,4,3,8,6,4,4,3,2,0,1,5,2,2,5,4,6,4,10,7,5,6,3,3,4,0,4,1,1,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,6,1,4,3,2,3,4,3,0,0,2,2,3,3,2,4,3,2,1,5,7,8,4,3,4,2,10,7,1,5,7,2,10,5,7,5,3,7,4,5,4,6,6,9,9,6,3,7,11,6,8,7,7,6,4,1,3,2,4,3,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,9,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,1862,1048,100,0,0,1148,58,66,107,222,109,47,78,120,236,105,11,18,6,3,3,13,4,6,5,7,2,3,5,9,9,11,9,7,10,9,7,14,11,10,15,14,10,12,14,14,12,15,18,10,16,7,12,8,14,14,10,7,8,7,7,8,9,9,12,10,4,7,10,9,3,11,8,2,6,3,2,3,2,1,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,6,10,4,4,6,7,4,6,8,4,4,10,11,10,14,6,12,14,5,7,16,12,12,15,21,16,15,21,17,15,10,13,11,9,5,13,16,11,9,7,7,8,15,10,8,11,10,10,4,6,10,6,8,4,6,8,9,2,1,3,1,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,10,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,1316,569,131,0,0,700,17,46,59,105,82,36,44,61,145,105,0,3,3,2,5,1,3,9,7,3,4,5,4,2,5,3,4,2,7,7,4,6,6,4,10,3,10,6,5,4,7,11,4,7,9,6,3,3,7,4,2,5,7,3,7,2,3,3,7,8,4,6,8,7,5,4,6,3,5,4,2,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,6,6,7,6,4,3,3,4,6,1,7,4,10,2,5,5,6,8,8,5,7,4,7,6,11,11,8,4,9,8,2,8,10,7,10,9,5,5,8,7,3,5,8,7,15,11,9,4,11,10,7,9,4,4,4,3,3,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
