precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
43,STRĂINĂTATE,"MONTREAL 2",80,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:33:06",0,8,8,0,8,8,0,8,8,0,0,3,2,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,VANCOUVER,81,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:58:34",0,7,7,0,7,7,0,7,7,0,2,2,0,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,"PRAGA 1",83,"REPUBLICA CEHĂ",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 12:38:21",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"SANTIAGO DE CHILE",86,"REPUBLICA CHILE",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:53:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BEIJING,87,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:50:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"HONG KONG",88,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:46:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SHANGHAI,89,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 17:24:39",0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"NICOSIA 1",90,"REPUBLICA CIPRU",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:11:38",0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BOGOTA,98,"REPUBLICA COLUMBIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:32:14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SEOUL,99,"REPUBLICA COREEA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:51:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ZAGREB,100,"REPUBLICA CROAȚIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:27:56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,HAVANA,101,CUBA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:51:52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"COPENHAGA 1",102,DANEMARCA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:37:00",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,CAIRO,117,EGIPT,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:06:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BERNA,120,ELVEȚIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:21:59",0,68,65,3,65,65,0,65,63,2,1,6,2,0,0,0,0,0,0,2,52
43,STRĂINĂTATE,"ABU DHABI",126,"EMIRATELE ARABE UNITE",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 05:12:10",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"DUBAI 1",127,"EMIRATELE ARABE UNITE",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:33:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TALLINN,129,ESTONIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:49:41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"ADDIS ABEBA",130,ETIOPIA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:49:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,MANILA,131,FILIPINE,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 17:46:39",0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,HELSINKI,132,FINLANDA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:15:32",0,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4
43,STRĂINĂTATE,"PARIS 1",136,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:16:27",0,11,11,0,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,11
43,STRĂINĂTATE,"LYON 1",183,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:31:38",0,10,10,0,10,10,0,10,10,0,0,2,1,0,0,0,0,0,0,0,7
43,STRĂINĂTATE,"MARSILIA 1",191,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:27:10",0,3,3,0,3,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2
43,STRĂINĂTATE,"STRASBOURG 1",201,FRANȚA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:39:17",0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TBILISI,205,GEORGIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 20:42:46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BERLIN 1",206,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 02:00:59",0,14,13,1,13,13,0,13,13,0,0,3,2,0,0,0,0,0,0,0,8
43,STRĂINĂTATE,"BONN 1",224,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:18:46",0,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4
43,STRĂINĂTATE,"MÜNCHEN 1",245,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:48:25",0,13,13,0,13,13,0,13,12,1,0,2,2,0,0,0,0,0,0,0,8
43,STRĂINĂTATE,"STUTTGART 1",275,GERMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:40:45",0,9,9,0,9,9,0,9,8,1,0,2,0,0,0,0,0,0,0,0,6
43,STRĂINĂTATE,"ATENA 1",294,"REPUBLICA ELENĂ",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 03:17:30",0,5,3,2,3,3,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,SALONIC,303,"REPUBLICA ELENĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:00:56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"NEW DELHI",305,"REPUBLICA INDIA",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:22:42",0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,JAKARTA,306,"REPUBLICA INDONEZIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 18:10:31",0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,AMMAN,307,"REGATUL HAȘEMIT AL IORDANIEI",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:05:17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BAGDAD,308,IRAK,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:46:47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ERBIL,309,IRAK,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:44:01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TEHERAN,310,"REPUBLICA ISLAMICĂ IRAN",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:07:17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"DUBLIN 8",318,IRLANDA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:24:50",0,6,6,0,6,6,0,6,6,0,0,1,0,0,0,0,0,0,0,0,5
43,STRĂINĂTATE,"TEL AVIV 1",327,"STATUL ISRAEL",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:37:59",0,7,7,0,7,7,0,7,7,0,0,3,0,0,0,0,0,0,0,0,4
43,STRĂINĂTATE,HAIFA,329,"STATUL ISRAEL",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:51:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"ROMA 5",334,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 02:51:57",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"BARI 1",355,ITALIA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 04:52:35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BOLOGNA 1",373,ITALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:36:10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
